epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,601.592,0.19829,0.5732,0.92788,0.9779,0.89836,0.97833,0.97169,0.15934,0.51658,0.98802,0.000129662,0.000129662,0.000129662
126,606.35,0.21927,0.55681,0.91946,0.97852,0.91052,0.995,0.98862,0.13252,0.49426,0.97776,0.00012495,0.00012495,0.00012495
127,611.167,0.21467,0.58076,0.91621,0.94717,0.93819,0.995,0.99284,0.11311,0.47139,0.98329,0.000120238,0.000120238,0.000120238
128,615.975,0.18874,0.61546,0.91483,0.92989,0.95896,0.995,0.99313,0.11773,0.45768,0.97523,0.000115525,0.000115525,0.000115525
129,621.099,0.19733,0.58096,0.91441,0.9379,0.94749,0.995,0.995,0.12983,0.45546,0.96655,0.000110813,0.000110813,0.000110813
130,625.982,0.18204,0.55572,0.9125,0.93618,0.94939,0.995,0.99001,0.13727,0.4677,0.96722,0.0001061,0.0001061,0.0001061
131,630.777,0.18583,0.56717,0.90637,0.9332,0.95339,0.995,0.99001,0.1238,0.47728,0.96411,0.000101388,0.000101388,0.000101388
132,635.704,0.19918,0.60463,0.92335,0.94022,0.94171,0.995,0.98502,0.1209,0.50699,0.98904,9.66756e-05,9.66756e-05,9.66756e-05
133,640.617,0.19405,0.59811,0.92221,0.98098,0.89972,0.98667,0.9695,0.12714,0.52282,0.99663,9.19632e-05,9.19632e-05,9.19632e-05
134,645.489,0.21154,0.56349,0.92849,0.98101,0.90005,0.98667,0.97171,0.12809,0.51368,0.99915,8.72508e-05,8.72508e-05,8.72508e-05
135,650.489,0.20032,0.53266,0.92588,0.98388,0.90078,0.99,0.97505,0.12553,0.48294,1.00726,8.25384e-05,8.25384e-05,8.25384e-05
136,655.376,0.20245,0.58411,0.9142,0.9782,0.9059,0.99,0.97505,0.11903,0.45428,0.98952,7.7826e-05,7.7826e-05,7.7826e-05
137,660.211,0.19324,0.53611,0.92369,0.98026,0.9048,0.99,0.98003,0.12086,0.44467,0.98221,7.31136e-05,7.31136e-05,7.31136e-05
138,665.214,0.18461,0.56999,0.91231,0.97991,0.90481,0.99,0.98127,0.12256,0.42398,0.96996,6.84012e-05,6.84012e-05,6.84012e-05
139,670.052,0.21158,0.60245,0.90505,0.98084,0.90244,0.98667,0.97794,0.1243,0.41729,0.96363,6.36888e-05,6.36888e-05,6.36888e-05
140,675.08,0.20685,0.55326,0.91339,0.97834,0.90123,0.98429,0.97556,0.11579,0.42674,0.97297,5.89764e-05,5.89764e-05,5.89764e-05
141,680.021,0.16138,0.78145,0.97183,0.98585,0.89965,0.97833,0.97833,0.11283,0.41764,0.97833,5.4264e-05,5.4264e-05,5.4264e-05
142,684.975,0.1167,0.64306,0.90657,0.95061,0.94619,0.97164,0.97148,0.13119,0.48413,0.96876,4.95516e-05,4.95516e-05,4.95516e-05
143,689.89,0.14364,0.47507,0.94301,0.96874,0.94811,0.97076,0.96853,0.14233,0.56775,0.96348,4.48392e-05,4.48392e-05,4.48392e-05
144,694.843,0.10758,0.44701,0.92217,0.97788,0.94686,0.9707,0.9707,0.14502,0.56396,0.96342,4.01268e-05,4.01268e-05,4.01268e-05
145,699.684,0.08913,0.36404,0.91499,0.97844,0.94904,0.97106,0.97106,0.12779,0.50786,0.9673,3.54144e-05,3.54144e-05,3.54144e-05
146,704.575,0.08489,0.31958,0.91105,0.97223,0.95773,0.97192,0.97192,0.12435,0.47378,0.9696,3.0702e-05,3.0702e-05,3.0702e-05
147,709.487,0.08244,0.31158,0.93117,0.96924,0.96452,0.97333,0.97333,0.12692,0.46011,0.97209,2.59896e-05,2.59896e-05,2.59896e-05
148,714.479,0.08243,0.31604,0.93606,0.96957,0.975,0.97556,0.97556,0.12672,0.46108,0.97239,2.12772e-05,2.12772e-05,2.12772e-05
149,720.203,0.09561,0.28571,0.8919,0.97278,0.975,0.97909,0.97909,0.12802,0.45268,0.95997,1.65648e-05,1.65648e-05,1.65648e-05
150,725.394,0.08626,0.31893,0.91155,0.97126,0.975,0.97833,0.97833,0.12905,0.45044,0.95877,1.18524e-05,1.18524e-05,1.18524e-05
